dd8e1170-2117-493a-ad7c-e0524594913d;trambleo;test de la description;2025-01-25;2025-01-30;En cours;false;false;[]
692c36a6-7b02-4fc2-8376-87872179ce0a;Github projet 1;khejsl;2024-12-31;2025-01-24;En retard;false;false;[]
6093aeca-5149-46a4-91d0-5404bad340b2;Projet de test;Description de test;2025-01-14;2025-01-16;Nouveau Projet;false;false;[]
fb9b926a-d588-4ea1-9220-ea216e5425a8;test Equipe;Test equipe description;2025-01-14;2025-01-16;Nouveau Projet;false;false;[Identifiant : 68baa079-dc74-4b69-a5ee-ec64153e3476
Nom : Gaudin
Prénom : Téo
Email : teo.gaudin@gmail.com
Mot de passe : Motdepasse123
Poste : developpeur
Rôle : null
Liste des projets : []
, Identifiant : dab68bef-2185-4650-9589-1c34ec2e395a
Nom : GiraudLanza
Prénom : Ambre
Email : ambre.giraudlanza@gmail.com
Mot de passe : Motdepasse123
Poste : administrateur
Rôle : null
Liste des projets : []
]
